10:03:00 [激光测距] 已通过 MyLink MAVLink 收到四路距离数据
10:03:01 [电机输出] 已通过 MyLink MAVLink 收到四路电机PWM数据
10:03:03 [成功] PX4已连接：udp:127.0.0.1:14540 系统ID=1 组件ID=1
10:03:03 [贴顶流程] 待机
10:03:03 [离地高度] 已请求3 Hz测距数据流
10:03:03 [成功] 已保存UDP地址：udp:127.0.0.1:14540
10:03:03 [成功] 本地NED坐标原点=(-0.026564037427306175, 0.016641510650515556, -0.10862046480178833)；已启动10 Hz本地位置数据流
10:03:07.901744 [轨迹] 序号=43 单调时间=4602.681680 时间=4602.682 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.007) 最终目标=(-0.020,0.020,-0.105) 指令位置=(-0.020,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.004384 [轨迹] 序号=44 单调时间=4602.784368 时间=4602.784 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.020,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.007) 最终目标=(-0.020,0.020,-0.105) 指令位置=(-0.020,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.107646 [轨迹] 序号=45 单调时间=4602.887428 时间=4602.887 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.019,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.007) 最终目标=(-0.019,0.020,-0.105) 指令位置=(-0.019,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.210343 [轨迹] 序号=46 单调时间=4602.990265 时间=4602.990 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.019,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.007) 最终目标=(-0.019,0.020,-0.105) 指令位置=(-0.019,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.312882 [轨迹] 序号=47 单调时间=4603.092946 时间=4603.093 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.019,0.020,-0.105) 实际速度=(-0.000,-0.000,-0.007) 最终目标=(-0.019,0.020,-0.105) 指令位置=(-0.019,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.415608 [轨迹] 序号=48 单调时间=4603.195512 时间=4603.196 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.019,0.020,-0.105) 实际速度=(-0.001,-0.000,-0.006) 最终目标=(-0.019,0.020,-0.105) 指令位置=(-0.019,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.518216 [轨迹] 序号=49 单调时间=4603.298188 时间=4603.298 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.019,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.006) 最终目标=(-0.019,0.020,-0.104) 指令位置=(-0.019,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.618770 [轨迹] 序号=50 单调时间=4603.398734 时间=4603.399 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.019,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.006) 最终目标=(-0.019,0.020,-0.104) 指令位置=(-0.019,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.720068 [轨迹] 序号=51 单调时间=4603.499794 时间=4603.500 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.018,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.006) 最终目标=(-0.018,0.020,-0.104) 指令位置=(-0.018,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.822961 [轨迹] 序号=52 单调时间=4603.602881 时间=4603.603 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.018,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.005) 最终目标=(-0.018,0.020,-0.104) 指令位置=(-0.018,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:08.926439 [轨迹] 序号=53 单调时间=4603.706330 时间=4603.706 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.018,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.005) 最终目标=(-0.018,0.020,-0.104) 指令位置=(-0.018,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:09.029535 [轨迹] 序号=54 单调时间=4603.809376 时间=4603.809 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.018,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.005) 最终目标=(-0.018,0.020,-0.104) 指令位置=(-0.018,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:09.132443 [轨迹] 序号=55 单调时间=4603.912341 时间=4603.912 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.018,0.020,-0.104) 实际速度=(-0.000,-0.000,-0.005) 最终目标=(-0.018,0.020,-0.104) 指令位置=(-0.018,0.020,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
